GeneID,pvalue,medDSSLS,meanDSSLS,sdDSSLS,bon.pvalue,fdr.pvalue,TreePvalue
FBgn0039140,7.28e-05,0.00668314,-0.191973743,0.736587552,0.744286724,0.010710794,0.18
FBgn0260453,1.01e-07,0.07332852,0.150313766,1.303404166,0.001032197,2.77e-05,0.186666666666667
FBgn0022029,0.000580418,0.01119428,-0.152962615,0.643087908,1,0.061373153,0.2
FBgn0261811,4.78e-08,0.00643551,-0.19401538,0.730755293,0.000488675,1.35e-05,0.213333333333333
FBgn0035714,0.000668743,0.00951862,-0.167329976,0.709044227,1,0.069983564,0.213333333333333
FBgn0036881,0.00368451,0.00907764,-0.124343465,0.647168949,1,0.299211672,0.22
FBgn0013305,0.028296451,0.02517382,-0.173362832,0.735532337,1,1,0.22
FBgn0035983,6.64e-09,0.02020596,-0.149454052,0.649237912,6.79e-05,2.25e-06,0.233333333333333
FBgn0020621,0.001720383,0.01042311,-0.142212948,0.630120919,1,0.151231413,0.233333333333333
FBgn0038856,0.002332665,0.01195231,-0.172728243,0.706458359,1,0.198982231,0.233333333333333
FBgn0014011,0.000457973,0.00621785,-0.085036966,0.620479714,1,0.050531345,0.24
FBgn0033196,0.004194367,0.01559655,-0.207956866,0.738936539,1,0.325015448,0.246666666666667
FBgn0035056,0.007886511,0.01208403,-0.179455884,0.674263906,1,0.533706517,0.26
FBgn0003330,4.96e-12,0.00537476,-0.105087809,0.556166682,5.07e-08,2.99e-09,0.266666666666667
FBgn0035023,5.24e-06,0.01671288,0.014924931,0.714130326,0.053618981,0.001023872,0.273333333333333
FBgn0036928,0.006197102,0.02553664,-0.105958406,0.554164573,1,0.44614741,0.293333333333333
FBgn0031639,7.12e-05,0.01105343,-0.171585656,0.717662857,0.727392814,0.010621615,0.313333333333333
FBgn0035103,0.011687166,0.08479913,-0.187713616,0.746248286,1,0.746140995,0.326666666666667
FBgn0025833,0.041433076,0.01451168,-0.185384861,0.723701977,1,1,0.36
FBgn0003145,0.001481016,0.01190239,-0.196039545,0.771919017,1,0.133042434,0.373333333333333
FBgn0028369,4.54e-14,0.00454216,-0.129491664,0.614515403,4.64e-10,3.55e-11,0.386666666666667
FBgn0041585,5.26e-10,0.01998792,-0.111973658,0.56180794,5.38e-06,2.22e-07,0.4
FBgn0034530,0.013157783,0.00268935,-0.124418702,0.607492678,1,0.816239908,0.406666666666667
FBgn0039536,0.000543006,0.00439079,-0.229078801,0.737264662,1,0.058490548,0.446666666666667
FBgn0035953,4e-05,0.01367673,-0.180618398,0.746904091,0.408581922,0.006543618,0.453333333333333
FBgn0038608,0.00432633,0.01471891,-0.17209579,0.722913425,1,0.332701369,0.493333333333333
FBgn0037199,0.001396279,0.01324662,-0.189714693,0.7342479,1,0.128461008,0.533333333333333
FBgn0052462,0.000151179,0.20555412,0.194353567,1.537746496,1,0.020192279,0.593333333333333
FBgn0030596,0.045606582,0.01974484,-0.024881191,0.280722359,1,1,0.673333333333333
FBgn0038300,0.022008596,0.0397561,-0.018797864,0.393447536,1,1,0.7
FBgn0040206,0.008000749,0.05068936,-0.194710999,0.74502063,1,0.537851682,0.746666666666667
FBgn0032053,0.035841212,0.00564509,-0.205374122,0.806958635,1,1,0.793333333333333
FBgn0026086,0.000404136,0.01296106,-0.147388778,0.634887804,1,0.045081138,0.893333333333333
